date,country_code,indicator_code,value
2019-01-01,KP,002,3.301
2018-01-01,KP,002,3.303
2017-01-01,KP,002,3.287
2016-01-01,KP,002,3.447
2015-01-01,KP,002,3.544
2014-01-01,KP,002,3.583
2013-01-01,KP,002,3.672
2012-01-01,KP,002,3.637
2011-01-01,KP,002,3.669
2010-01-01,KP,002,3.654
2009-01-01,KP,002,3.637
2008-01-01,KP,002,3.278
2007-01-01,KP,002,3.381
2006-01-01,KP,002,3.663
2005-01-01,KP,002,3.918
2004-01-01,KP,002,4.079
2003-01-01,KP,002,4.158
2002-01-01,KP,002,4.272
2001-01-01,KP,002,4.198
2000-01-01,KP,002,4.254
1999-01-01,KP,002,4.308
1998-01-01,KP,002,4.204
1997-01-01,KP,002,4.246
1996-01-01,KP,002,4.158
1995-01-01,KP,002,4.128
1994-01-01,KP,002,3.998
1993-01-01,KP,002,3.891
1992-01-01,KP,002,3.629
1991-01-01,KP,002,3.581
2016-01-01,KP,016,7100.0
2015-01-01,KP,016,6700.0
2014-01-01,KP,016,6700.0
2013-01-01,KP,016,6600.0
2012-01-01,KP,016,6400.0
2011-01-01,KP,016,6400.0
2010-01-01,KP,016,6400.0
2009-01-01,KP,016,6400.0
2008-01-01,KP,016,6415.0
2007-01-01,KP,016,6130.0
2006-01-01,KP,016,6160.0
2005-01-01,KP,016,5700.0
2004-01-01,KP,016,5630.0
2003-01-01,KP,016,5540.0
2002-01-01,KP,016,5320.0
2001-01-01,KP,016,5160.0
2000-01-01,KP,016,4600.0
1999-01-01,KP,016,4000.0
1998-01-01,KP,016,3200.0
2018-01-01,KP,021,52.0
2017-01-01,KP,021,-13.0
2016-01-01,KP,021,89.0
2015-01-01,KP,021,79.0
2014-01-01,KP,021,102.0
2013-01-01,KP,021,119.0
2012-01-01,KP,021,205.0
2011-01-01,KP,021,103.0
2010-01-01,KP,021,14.0
2009-01-01,KP,021,86.0
2008-01-01,KP,021,171.0
2007-01-01,KP,021,22.0
2006-01-01,KP,021,-236.0
2005-01-01,KP,021,-6.0
2004-01-01,KP,021,65.0
2003-01-01,KP,021,6.0
2002-01-01,KP,021,6.0
2001-01-01,KP,021,-20.0
2000-01-01,KP,021,8.0
1998-01-01,KP,021,31.0
1996-01-01,KP,021,1.0
1994-01-01,KP,021,-1.0
1993-01-01,KP,021,6.0
1992-01-01,KP,021,1.0
1991-01-01,KP,021,1.0
1990-01-01,KP,021,5.0
1989-01-01,KP,021,0.0
1988-01-01,KP,021,0.0
1987-01-01,KP,021,0.0
1986-01-01,KP,021,0.0
2019-01-01,KP,024,79.619017
2018-01-01,KP,024,78.838395
2017-01-01,KP,024,78.025443
2019-01-01,KP,025,13.0
2018-01-01,KP,025,15.0
2017-01-01,KP,025,17.0
2016-01-01,KP,025,26.0
2015-01-01,KP,025,26.0
2014-01-01,KP,025,26.0
2013-01-01,KP,025,25.0
2012-01-01,KP,025,19.0
2011-01-01,KP,025,24.0
2010-01-01,KP,025,22.0
2009-01-01,KP,025,19.0
2008-01-01,KP,025,13.0
2007-01-01,KP,025,11.0
2019-01-01,KP,044,17.0
2018-01-01,KP,044,14.0
2017-01-01,KP,044,17.0
2016-01-01,KP,044,12.0
2015-01-01,KP,044,8.0
2014-01-01,KP,044,8.0
2013-01-01,KP,044,8.0
2012-01-01,KP,044,8.0
2011-01-01,KP,044,10.0
2019-01-01,KP,045,172.0
2018-01-01,KP,045,176.0
2017-01-01,KP,045,171.0
2016-01-01,KP,045,174.0
2015-01-01,KP,045,167.0
2014-01-01,KP,045,174.0
2013-01-01,KP,045,175.0
2012-01-01,KP,045,174.0
2011-01-01,KP,045,182.0
2019-05-01,KP,048,0.0
2019-04-01,KP,048,0.0
2019-03-01,KP,048,0.0
2019-02-01,KP,048,0.0
2019-01-01,KP,048,0.0
2018-12-01,KP,048,0.0
2018-11-01,KP,048,0.0
2018-10-01,KP,048,0.0
2018-09-01,KP,048,0.0
2018-08-01,KP,048,0.0
2018-07-01,KP,048,0.0
2018-06-01,KP,048,0.0
2018-05-01,KP,048,0.0
2018-04-01,KP,048,0.0
2018-03-01,KP,048,0.0
2018-02-01,KP,048,0.0
2018-01-01,KP,048,0.0
2017-12-01,KP,048,0.0
2017-11-01,KP,048,0.0
2017-10-01,KP,048,0.0
2017-09-01,KP,048,0.0
2017-08-01,KP,048,0.0
2017-07-01,KP,048,0.0
2017-06-01,KP,048,0.0
2017-05-01,KP,048,0.0
2017-04-01,KP,048,0.0
2017-03-01,KP,048,0.0
2017-02-01,KP,048,0.0
2017-01-01,KP,048,0.0
2016-12-01,KP,048,0.0
2016-11-01,KP,048,0.0
2016-10-01,KP,048,0.0
2016-09-01,KP,048,0.0
2016-08-01,KP,048,0.0
2016-07-01,KP,048,0.0
2016-06-01,KP,048,0.0
2016-05-01,KP,048,0.0
2016-04-01,KP,048,0.0
2016-03-01,KP,048,0.0
2016-02-01,KP,048,0.0
2016-01-01,KP,048,0.0
2015-12-01,KP,048,0.0
2015-11-01,KP,048,0.0
2015-10-01,KP,048,0.0
2015-09-01,KP,048,0.0
2015-08-01,KP,048,0.0
2015-07-01,KP,048,0.0
2015-06-01,KP,048,0.0
2015-05-01,KP,048,0.0
2015-04-01,KP,048,0.0
2015-03-01,KP,048,0.0
2015-02-01,KP,048,0.0
2015-01-01,KP,048,0.0
2014-12-01,KP,048,0.0
2014-11-01,KP,048,0.0
2014-10-01,KP,048,0.0
2014-09-01,KP,048,0.0
2014-08-01,KP,048,0.0
2014-07-01,KP,048,0.0
2014-06-01,KP,048,0.0
2014-05-01,KP,048,0.0
2014-04-01,KP,048,0.0
2014-03-01,KP,048,0.0
2014-02-01,KP,048,0.0
2014-01-01,KP,048,0.0
2013-12-01,KP,048,0.0
2013-11-01,KP,048,0.0
2013-10-01,KP,048,0.0
2013-09-01,KP,048,0.0
2013-08-01,KP,048,0.0
2013-07-01,KP,048,0.0
2013-06-01,KP,048,0.0
2013-05-01,KP,048,0.0
2013-04-01,KP,048,0.0
2013-03-01,KP,048,0.0
2013-02-01,KP,048,0.0
2013-01-01,KP,048,0.0
2012-12-01,KP,048,0.0
2012-11-01,KP,048,0.0
2012-10-01,KP,048,0.0
2012-09-01,KP,048,0.0
2012-08-01,KP,048,0.0
2012-07-01,KP,048,0.0
2012-06-01,KP,048,0.0
2012-05-01,KP,048,0.0
2012-04-01,KP,048,0.0
2012-03-01,KP,048,0.0
2012-02-01,KP,048,0.0
2012-01-01,KP,048,0.0
2011-12-01,KP,048,0.0
2011-11-01,KP,048,0.0
2011-10-01,KP,048,0.0
2011-09-01,KP,048,0.0
2011-08-01,KP,048,0.0
2011-07-01,KP,048,0.0
2011-06-01,KP,048,0.0
2011-05-01,KP,048,0.0
2011-04-01,KP,048,0.0
2011-03-01,KP,048,0.0
2011-02-01,KP,048,0.0
2011-01-01,KP,048,0.0
2010-12-01,KP,048,0.0
2010-11-01,KP,048,0.0
2010-10-01,KP,048,0.0
2010-09-01,KP,048,0.0
2010-08-01,KP,048,0.0
2010-07-01,KP,048,0.0
2010-06-01,KP,048,0.0
2010-05-01,KP,048,0.0
2010-04-01,KP,048,0.0
2010-03-01,KP,048,0.0
2010-02-01,KP,048,0.0
2010-01-01,KP,048,0.0
2009-12-01,KP,048,0.0
2009-11-01,KP,048,0.0
2009-10-01,KP,048,0.0
2009-09-01,KP,048,0.0
2009-08-01,KP,048,0.0
2009-07-01,KP,048,0.0
2009-06-01,KP,048,0.0
2009-05-01,KP,048,0.0
2009-04-01,KP,048,0.0
2009-03-01,KP,048,0.0
2009-02-01,KP,048,0.0
2009-01-01,KP,048,0.0
2008-12-01,KP,048,0.0
2008-11-01,KP,048,0.0
2008-10-01,KP,048,0.0
2008-09-01,KP,048,0.0
2008-08-01,KP,048,0.0
2008-07-01,KP,048,0.0
2008-06-01,KP,048,0.0
2008-05-01,KP,048,0.0
2008-04-01,KP,048,0.0
2008-03-01,KP,048,0.0
2008-02-01,KP,048,0.0
2008-01-01,KP,048,0.0
2007-12-01,KP,048,0.0
2007-11-01,KP,048,0.0
2007-10-01,KP,048,0.0
2007-09-01,KP,048,0.0
2007-08-01,KP,048,0.0
2007-07-01,KP,048,0.0
2007-06-01,KP,048,0.0
2007-05-01,KP,048,0.0
2007-04-01,KP,048,0.0
2007-03-01,KP,048,0.0
2007-02-01,KP,048,0.0
2007-01-01,KP,048,0.0
2006-12-01,KP,048,0.0
2006-11-01,KP,048,0.0
2006-10-01,KP,048,0.0
2006-09-01,KP,048,0.0
2006-08-01,KP,048,0.0
2006-07-01,KP,048,0.0
2006-06-01,KP,048,0.0
2006-05-01,KP,048,0.0
2006-04-01,KP,048,0.0
2006-03-01,KP,048,0.0
2006-02-01,KP,048,0.0
2006-01-01,KP,048,0.0
2005-12-01,KP,048,0.0
2005-11-01,KP,048,0.0
2005-10-01,KP,048,0.0
2005-09-01,KP,048,0.0
2005-08-01,KP,048,0.0
2005-07-01,KP,048,0.0
2005-06-01,KP,048,0.0
2005-05-01,KP,048,0.0
2005-04-01,KP,048,0.0
2005-03-01,KP,048,0.0
2005-02-01,KP,048,0.0
2005-01-01,KP,048,0.0
2004-12-01,KP,048,0.0
2004-11-01,KP,048,0.0
2004-10-01,KP,048,0.0
2004-09-01,KP,048,0.0
2004-08-01,KP,048,0.0
2004-07-01,KP,048,0.0
2004-06-01,KP,048,0.0
2004-05-01,KP,048,0.0
2004-04-01,KP,048,0.0
2004-03-01,KP,048,0.0
2004-02-01,KP,048,0.0
2004-01-01,KP,048,0.0
2003-12-01,KP,048,0.0
2003-11-01,KP,048,0.0
2003-10-01,KP,048,0.0
2003-09-01,KP,048,0.0
2003-08-01,KP,048,0.0
2003-07-01,KP,048,0.0
2003-06-01,KP,048,0.0
2003-05-01,KP,048,0.0
2003-04-01,KP,048,0.0
2003-03-01,KP,048,0.0
2003-02-01,KP,048,0.0
2003-01-01,KP,048,0.0
2002-12-01,KP,048,0.0
2002-11-01,KP,048,0.0
2002-10-01,KP,048,0.0
2002-09-01,KP,048,0.0
2002-08-01,KP,048,0.0
2002-07-01,KP,048,0.0
2002-06-01,KP,048,0.0
2002-05-01,KP,048,0.0
2002-04-01,KP,048,0.0
2002-03-01,KP,048,0.0
2002-02-01,KP,048,0.0
2002-01-01,KP,048,0.0
2001-12-01,KP,048,0.0
2001-11-01,KP,048,0.0
2001-10-01,KP,048,0.0
2001-09-01,KP,048,0.0
2001-08-01,KP,048,0.0
2001-07-01,KP,048,0.0
2001-06-01,KP,048,0.0
2001-05-01,KP,048,0.0
2001-04-01,KP,048,0.0
2001-03-01,KP,048,0.0
2001-02-01,KP,048,0.0
2001-01-01,KP,048,0.0
2000-12-01,KP,048,0.0
2000-11-01,KP,048,0.0
2000-10-01,KP,048,0.0
2000-09-01,KP,048,0.0
2000-08-01,KP,048,0.0
2000-07-01,KP,048,0.0
2000-06-01,KP,048,0.0
2000-05-01,KP,048,0.0
2000-04-01,KP,048,0.0
2000-03-01,KP,048,0.0
2000-02-01,KP,048,0.0
2000-01-01,KP,048,0.0
1999-12-01,KP,048,0.0
1999-11-01,KP,048,0.0
1999-10-01,KP,048,0.0
1999-09-01,KP,048,0.0
1999-08-01,KP,048,0.0
1999-07-01,KP,048,0.0
1999-06-01,KP,048,0.0
1999-05-01,KP,048,0.0
1999-04-01,KP,048,0.0
1999-03-01,KP,048,0.0
1999-02-01,KP,048,0.0
1999-01-01,KP,048,0.0
1998-12-01,KP,048,0.0
1998-11-01,KP,048,0.0
1998-10-01,KP,048,0.0
1998-09-01,KP,048,0.0
1998-08-01,KP,048,0.0
1998-07-01,KP,048,0.0
1998-06-01,KP,048,0.0
1998-05-01,KP,048,0.0
1998-04-01,KP,048,0.0
1998-03-01,KP,048,0.0
1998-02-01,KP,048,0.0
1998-01-01,KP,048,0.0
1997-12-01,KP,048,0.0
1997-11-01,KP,048,0.0
1997-10-01,KP,048,0.0
1997-09-01,KP,048,0.0
1997-08-01,KP,048,0.0
1997-07-01,KP,048,0.0
1997-06-01,KP,048,0.0
1997-05-01,KP,048,0.0
1997-04-01,KP,048,0.0
1997-03-01,KP,048,0.0
1997-02-01,KP,048,0.0
1997-01-01,KP,048,0.0
1996-12-01,KP,048,0.0
1996-11-01,KP,048,0.0
1996-10-01,KP,048,0.0
1996-09-01,KP,048,0.0
1996-08-01,KP,048,0.0
1996-07-01,KP,048,0.0
1996-06-01,KP,048,0.0
1996-05-01,KP,048,0.0
1996-04-01,KP,048,0.0
1996-03-01,KP,048,0.0
1996-02-01,KP,048,0.0
1996-01-01,KP,048,0.0
1995-12-01,KP,048,0.0
1995-11-01,KP,048,0.0
1995-10-01,KP,048,0.0
1995-09-01,KP,048,0.0
1995-08-01,KP,048,0.0
1995-07-01,KP,048,0.0
1995-06-01,KP,048,0.0
1995-05-01,KP,048,0.0
1995-04-01,KP,048,0.0
1995-03-01,KP,048,0.0
1995-02-01,KP,048,0.0
1995-01-01,KP,048,0.0
1994-12-01,KP,048,0.0
1994-11-01,KP,048,0.0
1994-10-01,KP,048,0.0
1994-09-01,KP,048,0.0
1994-08-01,KP,048,0.0
1994-07-01,KP,048,0.0
1994-06-01,KP,048,0.0
1994-05-01,KP,048,0.0
1994-04-01,KP,048,0.0
1994-03-01,KP,048,0.0
1994-02-01,KP,048,0.0
1994-01-01,KP,048,0.0
1993-12-01,KP,048,0.0
1993-11-01,KP,048,0.0
1993-10-01,KP,048,0.0
1993-09-01,KP,048,0.0
1993-08-01,KP,048,0.0
1993-07-01,KP,048,0.0
1993-06-01,KP,048,0.0
1993-05-01,KP,048,0.0
1993-04-01,KP,048,0.0
1993-03-01,KP,048,0.0
1993-02-01,KP,048,0.0
1993-01-01,KP,048,0.0
1992-12-01,KP,048,0.0
1992-11-01,KP,048,0.0
1992-10-01,KP,048,0.0
1992-09-01,KP,048,0.0
1992-08-01,KP,048,0.0
1992-07-01,KP,048,0.0
1992-06-01,KP,048,0.0
1992-05-01,KP,048,0.0
1992-04-01,KP,048,0.0
1992-03-01,KP,048,0.0
1992-02-01,KP,048,0.0
1992-01-01,KP,048,0.0
1991-12-01,KP,048,0.0
1991-11-01,KP,048,0.0
1991-10-01,KP,048,0.0
1991-09-01,KP,048,0.0
1991-08-01,KP,048,0.0
1991-07-01,KP,048,0.0
1991-06-01,KP,048,0.0
1991-05-01,KP,048,0.0
1991-04-01,KP,048,0.0
1991-03-01,KP,048,0.0
1991-02-01,KP,048,0.0
1991-01-01,KP,048,0.0
1990-12-01,KP,048,0.0
1990-11-01,KP,048,0.0
1990-10-01,KP,048,0.0
1990-09-01,KP,048,0.0
1990-08-01,KP,048,0.0
1990-07-01,KP,048,0.0
1990-06-01,KP,048,0.0
1990-05-01,KP,048,0.0
1990-04-01,KP,048,0.0
1990-03-01,KP,048,0.0
1990-02-01,KP,048,0.0
1990-01-01,KP,048,0.0
1989-12-01,KP,048,0.0
1989-11-01,KP,048,0.0
1989-10-01,KP,048,0.0
1989-09-01,KP,048,0.0
1989-08-01,KP,048,0.0
1989-07-01,KP,048,0.0
1989-06-01,KP,048,0.0
1989-05-01,KP,048,0.0
1989-04-01,KP,048,0.0
1989-03-01,KP,048,0.0
1989-02-01,KP,048,0.0
1989-01-01,KP,048,0.0
1988-12-01,KP,048,0.0
1988-11-01,KP,048,0.0
1988-10-01,KP,048,0.0
1988-09-01,KP,048,0.0
1988-08-01,KP,048,0.0
1988-07-01,KP,048,0.0
1988-06-01,KP,048,0.0
1988-05-01,KP,048,0.0
1988-04-01,KP,048,0.0
1988-03-01,KP,048,0.0
1988-02-01,KP,048,0.0
1988-01-01,KP,048,0.0
1987-12-01,KP,048,0.0
1987-11-01,KP,048,0.0
1987-10-01,KP,048,0.0
1987-09-01,KP,048,0.0
1987-08-01,KP,048,0.0
1987-07-01,KP,048,0.0
1987-06-01,KP,048,0.0
1987-05-01,KP,048,0.0
1987-04-01,KP,048,0.0
1987-03-01,KP,048,0.0
1987-02-01,KP,048,0.0
1987-01-01,KP,048,0.0
1986-12-01,KP,048,0.0
1986-11-01,KP,048,0.0
1986-10-01,KP,048,0.0
1986-09-01,KP,048,0.0
1986-08-01,KP,048,0.0
1986-07-01,KP,048,0.0
1986-06-01,KP,048,0.0
1986-05-01,KP,048,0.0
1986-04-01,KP,048,0.0
1986-03-01,KP,048,0.0
1986-02-01,KP,048,0.0
1986-01-01,KP,048,0.0
1985-12-01,KP,048,0.0
1985-11-01,KP,048,0.0
1985-10-01,KP,048,0.0
1985-09-01,KP,048,0.0
1985-08-01,KP,048,0.0
1985-07-01,KP,048,0.0
1985-06-01,KP,048,0.0
1985-05-01,KP,048,0.0
1985-04-01,KP,048,0.0
1985-03-01,KP,048,0.0
1985-02-01,KP,048,0.0
1985-01-01,KP,048,0.0
1984-12-01,KP,048,0.0
1984-11-01,KP,048,0.0
1984-10-01,KP,048,0.0
1984-09-01,KP,048,0.0
1984-08-01,KP,048,0.0
1984-07-01,KP,048,0.0
1984-06-01,KP,048,0.0
1984-05-01,KP,048,0.0
1984-04-01,KP,048,0.0
1984-03-01,KP,048,0.0
1984-02-01,KP,048,0.0
1984-01-01,KP,048,0.0
1983-12-01,KP,048,0.0
1983-11-01,KP,048,0.0
1983-10-01,KP,048,0.0
1983-09-01,KP,048,0.0
1983-08-01,KP,048,0.0
1983-07-01,KP,048,0.0
1983-06-01,KP,048,0.0
1983-05-01,KP,048,0.0
1983-04-01,KP,048,0.0
1983-03-01,KP,048,0.0
1983-02-01,KP,048,0.0
1983-01-01,KP,048,0.0
1982-12-01,KP,048,0.0
1982-11-01,KP,048,0.0
1982-10-01,KP,048,0.0
1982-09-01,KP,048,0.0
1982-08-01,KP,048,0.0
1982-07-01,KP,048,0.0
1982-06-01,KP,048,0.0
1982-05-01,KP,048,0.0
1982-04-01,KP,048,0.0
1982-03-01,KP,048,0.0
1982-02-01,KP,048,0.0
1982-01-01,KP,048,0.0
1981-12-01,KP,048,0.0
1981-11-01,KP,048,0.0
1981-10-01,KP,048,0.0
1981-09-01,KP,048,0.0
1981-08-01,KP,048,0.0
1981-07-01,KP,048,0.0
1981-06-01,KP,048,0.0
1981-05-01,KP,048,0.0
1981-04-01,KP,048,0.0
1981-03-01,KP,048,0.0
1981-02-01,KP,048,0.0
1981-01-01,KP,048,0.0
1980-12-01,KP,048,0.0
1980-11-01,KP,048,0.0
1980-10-01,KP,048,0.0
1980-09-01,KP,048,0.0
1980-08-01,KP,048,0.0
1980-07-01,KP,048,0.0
1980-06-01,KP,048,0.0
1980-05-01,KP,048,0.0
1980-04-01,KP,048,0.0
1980-03-01,KP,048,0.0
1980-02-01,KP,048,0.0
1980-01-01,KP,048,0.0
1979-12-01,KP,048,0.0
1979-11-01,KP,048,0.0
1979-10-01,KP,048,0.0
1979-09-01,KP,048,0.0
1979-08-01,KP,048,0.0
1979-07-01,KP,048,0.0
1979-06-01,KP,048,0.0
1979-05-01,KP,048,0.0
1979-04-01,KP,048,0.0
1979-03-01,KP,048,0.0
1979-02-01,KP,048,0.0
1979-01-01,KP,048,0.0
1978-12-01,KP,048,0.0
1978-11-01,KP,048,0.0
1978-10-01,KP,048,0.0
1978-09-01,KP,048,0.0
1978-08-01,KP,048,0.0
1978-07-01,KP,048,0.0
1978-06-01,KP,048,0.0
1978-05-01,KP,048,0.0
1978-04-01,KP,048,0.0
1978-03-01,KP,048,0.0
1978-02-01,KP,048,0.0
1978-01-01,KP,048,0.0
1977-12-01,KP,048,0.0
1977-11-01,KP,048,0.0
1977-10-01,KP,048,0.0
1977-09-01,KP,048,0.0
1977-08-01,KP,048,0.0
1977-07-01,KP,048,0.0
1977-06-01,KP,048,0.0
1977-05-01,KP,048,0.0
1977-04-01,KP,048,0.0
1977-03-01,KP,048,0.0
1977-02-01,KP,048,0.0
1977-01-01,KP,048,0.0
1976-12-01,KP,048,0.0
1976-11-01,KP,048,0.0
1976-10-01,KP,048,0.0
1976-09-01,KP,048,0.0
1976-08-01,KP,048,0.0
1976-07-01,KP,048,0.0
1976-06-01,KP,048,0.0
1976-05-01,KP,048,0.0
1976-04-01,KP,048,0.0
1976-03-01,KP,048,0.0
1976-02-01,KP,048,0.0
1976-01-01,KP,048,0.0
1975-12-01,KP,048,0.0
1975-11-01,KP,048,0.0
1975-10-01,KP,048,0.0
1975-09-01,KP,048,0.0
1975-08-01,KP,048,0.0
1975-07-01,KP,048,0.0
1975-06-01,KP,048,0.0
1975-05-01,KP,048,0.0
1975-04-01,KP,048,0.0
1975-03-01,KP,048,0.0
1975-02-01,KP,048,0.0
1975-01-01,KP,048,0.0
1974-12-01,KP,048,0.0
1974-11-01,KP,048,0.0
1974-10-01,KP,048,0.0
1974-09-01,KP,048,0.0
1974-08-01,KP,048,0.0
1974-07-01,KP,048,0.0
1974-06-01,KP,048,0.0
1974-05-01,KP,048,0.0
1974-04-01,KP,048,0.0
1974-03-01,KP,048,0.0
1974-02-01,KP,048,0.0
1974-01-01,KP,048,0.0
1973-12-01,KP,048,0.0
1973-11-01,KP,048,0.0
1973-10-01,KP,048,0.0
1973-09-01,KP,048,0.0
1973-08-01,KP,048,0.0
1973-07-01,KP,048,0.0
1973-06-01,KP,048,0.0
1973-05-01,KP,048,0.0
1973-04-01,KP,048,0.0
1973-03-01,KP,048,0.0
1973-02-01,KP,048,0.0
1973-01-01,KP,048,0.0
2019-01-01,KP,050,0.0
2018-01-01,KP,050,0.0
2017-01-01,KP,050,0.0
2016-01-01,KP,050,0.0
2015-01-01,KP,050,0.0
2014-01-01,KP,050,0.0
2013-01-01,KP,050,0.0
2012-01-01,KP,050,0.0
2011-01-01,KP,050,0.0
2010-01-01,KP,050,0.0
2009-01-01,KP,050,0.0
2008-01-01,KP,050,0.0
2007-01-01,KP,050,0.0
2006-01-01,KP,050,0.0
2005-01-01,KP,050,0.0
2004-01-01,KP,050,0.0
2003-01-01,KP,050,0.0
2002-01-01,KP,050,0.0
2001-01-01,KP,050,0.0
2000-01-01,KP,050,0.0
1999-01-01,KP,050,0.0
1998-01-01,KP,050,0.0
1997-01-01,KP,050,0.0
1996-01-01,KP,050,0.0
1995-01-01,KP,050,0.0
1994-01-01,KP,050,0.0
1993-01-01,KP,050,0.0
1992-01-01,KP,050,0.0
1991-01-01,KP,050,0.0
1990-01-01,KP,050,0.0
1989-01-01,KP,050,0.0
1988-01-01,KP,050,0.0
1987-01-01,KP,050,0.0
1986-01-01,KP,050,0.0
1985-01-01,KP,050,0.0
1984-01-01,KP,050,0.0
1983-01-01,KP,050,0.0
1982-01-01,KP,050,0.0
1981-01-01,KP,050,0.0
2019-01-01,KP,051,0.0
2018-01-01,KP,051,0.0
2017-01-01,KP,051,0.0
2016-01-01,KP,051,0.0
2015-01-01,KP,051,0.0
2014-01-01,KP,051,0.0
2013-01-01,KP,051,0.0
2012-01-01,KP,051,0.0
2011-01-01,KP,051,0.0
2010-01-01,KP,051,0.0
2009-01-01,KP,051,0.0
2008-01-01,KP,051,0.0
2007-01-01,KP,051,0.0
2006-01-01,KP,051,0.0
2005-01-01,KP,051,0.0
2004-01-01,KP,051,0.0
2003-01-01,KP,051,0.0
2002-01-01,KP,051,0.0
2001-01-01,KP,051,0.0
2000-01-01,KP,051,0.0
1999-01-01,KP,051,0.0
1998-01-01,KP,051,0.0
1997-01-01,KP,051,0.0
1996-01-01,KP,051,0.0
1995-01-01,KP,051,0.0
1994-01-01,KP,051,0.0
1993-01-01,KP,051,0.0
1992-01-01,KP,051,0.0
1991-01-01,KP,051,0.0
1990-01-01,KP,051,0.0
1989-01-01,KP,051,0.0
1988-01-01,KP,051,0.0
1987-01-01,KP,051,0.0
1986-01-01,KP,051,0.0
1985-01-01,KP,051,0.0
1984-01-01,KP,051,0.0
1983-01-01,KP,051,0.0
1982-01-01,KP,051,0.0
1981-01-01,KP,051,0.0
2015-01-01,KP,061,0.0
2014-01-01,KP,061,0.0
2013-01-01,KP,061,0.0
2012-01-01,KP,061,0.0
2011-01-01,KP,061,0.0
2010-01-01,KP,061,0.0
2009-01-01,KP,061,0.0
2008-01-01,KP,061,0.0
2007-01-01,KP,061,0.0
2006-01-01,KP,061,0.0
2005-01-01,KP,061,0.0
2004-01-01,KP,061,0.0
2003-01-01,KP,061,0.0
2002-01-01,KP,061,0.0
2001-01-01,KP,061,0.0
2000-01-01,KP,061,0.0
1999-01-01,KP,061,0.0
1998-01-01,KP,061,0.0
1997-01-01,KP,061,0.0
1996-01-01,KP,061,0.0
1995-01-01,KP,061,0.0
1994-01-01,KP,061,0.0
1993-01-01,KP,061,0.0
1992-01-01,KP,061,0.0
1991-01-01,KP,061,0.0
1990-01-01,KP,061,0.0
1989-01-01,KP,061,0.0
1988-01-01,KP,061,0.0
1987-01-01,KP,061,0.0
1986-01-01,KP,061,0.0
1985-01-01,KP,061,0.0
1984-01-01,KP,061,0.0
1983-01-01,KP,061,0.0
1982-01-01,KP,061,0.0
1981-01-01,KP,061,0.0
1980-01-01,KP,061,0.0
1979-01-01,KP,061,0.0
1978-01-01,KP,061,0.0
1977-01-01,KP,061,0.0
1976-01-01,KP,061,0.0
1975-01-01,KP,061,0.0
1974-01-01,KP,061,0.0
1973-01-01,KP,061,0.0
1972-01-01,KP,061,0.0
1971-01-01,KP,061,0.0
2019-01-01,KP,064,16503.0
2018-01-01,KP,064,16396.0
2017-01-01,KP,064,16272.0
2016-01-01,KP,064,16142.0
2015-01-01,KP,064,16027.0
2014-01-01,KP,064,15894.0
2013-01-01,KP,064,15762.0
2012-01-01,KP,064,15634.0
2011-01-01,KP,064,15498.0
2010-01-01,KP,064,15354.0
2009-01-01,KP,064,15215.0
2008-01-01,KP,064,15064.0
2007-01-01,KP,064,14919.0
2006-01-01,KP,064,14786.0
2005-01-01,KP,064,14660.0
2004-01-01,KP,064,14521.0
2003-01-01,KP,064,14386.0
2002-01-01,KP,064,14255.0
2001-01-01,KP,064,14117.0
2000-01-01,KP,064,13969.0
1999-01-01,KP,064,13830.0
1998-01-01,KP,064,13683.0
1997-01-01,KP,064,13540.0
1996-01-01,KP,064,13397.0
1995-01-01,KP,064,13253.0
1994-01-01,KP,064,13077.0
1993-01-01,KP,064,12907.0
1992-01-01,KP,064,12727.0
1991-01-01,KP,064,12502.0
1990-01-01,KP,064,12214.0
2018-01-01,KP,066,161.0
2017-01-01,KP,066,152.2
2016-01-01,KP,066,132.2
2015-01-01,KP,066,135.1
2014-01-01,KP,066,154.3
2013-01-01,KP,066,165.9
2012-01-01,KP,066,183.0
2011-01-01,KP,066,195.6
2010-01-01,KP,066,163.0
2009-01-01,KP,066,148.9
2008-01-01,KP,066,162.0
2007-01-01,KP,066,130.6
2006-01-01,KP,066,121.3
2005-01-01,KP,066,112.3
2004-01-01,KP,066,101.5
2003-01-01,KP,066,92.6
2002-01-01,KP,066,90.5
2001-01-01,KP,066,94.5
2000-01-01,KP,066,100.0
2018-01-01,KP,067,300.0
2017-01-01,KP,067,1770.0
2016-01-01,KP,067,3006.0
2015-01-01,KP,067,4152.0
2014-01-01,KP,067,4365.0
2013-01-01,KP,067,3835.0
2012-01-01,KP,067,3955.0
2011-01-01,KP,067,3705.0
2010-01-01,KP,067,2555.0
2009-01-01,KP,067,1995.0
2008-01-01,KP,067,2060.0
2007-01-01,KP,067,1685.0
2006-01-01,KP,067,1465.0
2005-01-01,KP,067,1338.0
2004-01-01,KP,067,1278.0
2003-01-01,KP,067,1066.0
2002-01-01,KP,067,1008.0
2001-01-01,KP,067,826.0
2000-01-01,KP,067,708.0
1999-01-01,KP,067,637.0
1998-01-01,KP,067,651.0
1997-01-01,KP,067,1098.0
1996-01-01,KP,067,909.0
1995-01-01,KP,067,959.0
1994-01-01,KP,067,1034.0
1993-01-01,KP,067,1020.0
1992-01-01,KP,067,1010.0
1991-01-01,KP,067,1960.0
